YORF,Name,NCBI gi,NCBI gi2,SGD ID,ORF status,"# potential tryptic peptides with up to 2 missed cleavages, <7.5 KDa, >3 aa long",O_i (Integrated probability of peptide observations),n_i (# observed peptides),p_i (probability of correct protein identification),APEX,n_i (# observed peptides),p_i (probability of correct protein identification),APEX,p(YPD),p(YMD),p(null),Z (YMD-YPD),GFP- YPD,GFP - YMD,Western,2D gel,"Average (>=2 measurements out of APEX, Western, 2D)",SAGE,HDA,Wang,"Average (>=2 measurements out of SAGE,HDA, Wang)",Avg_protein/Avg_mRNA,MW (Da),PI,CAI (Codon Adaptation Index),Length,Codon Bias,FOP Score (Frequency of Optimal Codons),Gravy Score (Hydropathicity of Protein),"Aromaticity (Frequency of aromatic amino acids: Phe, Tyr, Trp)",PEST_abs,PEST_rel
Q0080,AAP1,6226526,,S000007267,ORF|Verified,8,1.65,,,,,,,0,0,0,,,,,,,,,1.84,,,5822,10.89,0.242,48,-0.147,0.409,1.2375,0.208333,8,0.17
Q0085,ATP6,6226527,,S000007268,ORF|Verified,18,3.77,,,,,,,0,0,0,,,,,,,,,0.19,,,29099,8.42,0.176,259,-0.176,0.403,1.097297,0.146718,48,0.19
Q0092,Q0092,6382000,,S000007269,ORF|Dubious,12,3.28,,,,,,,0,0,0,,,,,,,,,,,,5849,10.73,0.045,46,-0.44,0.314,0.708696,0.217391,,
Q0105,COB,6226529,,S000007270,ORF|Verified,35,6.93,,,,,,,0,0,0,,,,,,,,,,,,43656,9.24,0.166,385,-0.104,0.421,0.828571,0.166234,68,0.18
Q0110,BI2,6226530,,S000007271,ORF|Verified,113,23.14,,,,,,,0,0,0,,,,,,,,,2.07,,,49326,10.41,0.136,423,-0.23,0.367,0.045863,0.144208,69,0.16
Q0115,BI3,6226531,,S000007272,ORF|Verified,143,31.56,,,,2,0.22,1143,0,9.91E-05,5.22E-05,1.34,,,,,,,,0.24,,,61172,10.4,0.133,517,-0.31,0.347,0.009671,0.160542,80,0.15
Q0120,BI4,6226532,,S000007273,ORF|Verified,186,42.18,,,,,,,0,0,0,,,,,,,,,1.39,,,74580,10.46,0.155,638,-0.233,0.359,-0.018025,0.158307,100,0.16
Q0130,OLI1,6226533,,S000007274,ORF|Verified,9,2.08,,,,,,,0,0,0,,,,,,,,,3.63,,,7759,8.42,0.181,76,0.061,0.493,1.446053,0.092105,11,0.14
Q0140,VAR1,6226534,,S000007275,ORF|Verified,114,28.75,,,,,,,0,0,0,,,,,,,,,1.93,,,47123,10.75,0.089,398,-0.634,0.221,-0.786432,0.090452,38,0.1
Q0142,Q0142,6226535,,S000007276,ORF|Dubious,8,2.49,,,,,,,0,0,0,,,,,,,,,,,,6868,10.63,0.066,58,-0.051,0.422,-0.184483,0.086207,,
Q0143,Q0143,6226536,,S000007277,ORF|Dubious,6,1.65,,,,,,,0,0,0,,,,,,,,,,,,5940,7.78,0.111,50,-0.466,0.304,0.134,0.14,,
Q0144,Q0144,6382001,,S000007278,ORF|Dubious,10,2.26,,,,,,,0,0,0,,,,,,,,,,,,14136,9.55,0.082,109,-0.616,0.322,0.714679,0.293578,,
Q0160,SCEI,6226538,,S000007279,ORF|Verified,73,17.34,,,,,,,0,0,0,,,,,,,,,,,,27683,10.08,0.136,235,-0.318,0.321,-0.381702,0.131915,43,0.18
Q0182,Q0182,6382002,,S000007280,ORF|Dubious,37,11.13,,,,,,,0,0,0,,,,,,,,,,,,16269,10.92,0.064,134,-0.324,0.311,-0.114925,0.223881,,
Q0250,COX2,6226540,,S000007281,ORF|Verified,33,8.42,,,,1,0.7,6817,0,4.96E-05,2.61E-05,0.95,,,,,,,,,,,28567,4.28,0.194,251,-0.042,0.458,0.353386,0.123506,58,0.23
Q0255,Q0255,6226541,,S000007282,ORF|Uncharacterized,183,46.87,,,,,,,0,0,0,,,,,,,,,,,,56412,10.46,0.125,472,-0.419,0.295,-0.508263,0.139831,71,0.15
Q0275,COX3,6226542,,S000007283,ORF|Verified,11,1.78,,,,,,,0,0,0,,,,,,,,,,,,30359,7.08,0.158,269,-0.066,0.409,0.690335,0.148699,52,0.19
Q0297,Q0297,6226543,,S000007284,ORF|Dubious,23,7,,,,,,,0,0,0,,,,,,,,,,,,5912,11.52,0.036,51,-0.235,0.222,-1.209804,0.078431,,
YAL001C,TFC3,6319317,,S000000001,ORF|Verified,488,117.83,,,,,,,0,0,0,,,,125,,,1,0.3,4.38,1.893333333,,132107,10.16,0.121,1160,-0.019,0.409,-0.511552,0.07931,275,0.24
YAL002W,VPS8,6319316,,S000000002,ORF|Verified,312,86.52,,,,,,,0,0,0,,,,736,,,,0.2,1,0.6,,144961,5.74,0.134,1274,0.055,0.446,-0.090346,0.096546,323,0.25
YAL003W,EFB1,6319315,,S000000003,ORF|Verified,47,10.81,37,1,318239,38,1,288236,0.002041943,0.001883613,0.001958531,-0.35,,,,358000,338119.4986,32,19.1,,25.55,13234,22627,4.13,0.763,206,0.741,0.849,-0.416505,0.07767,51,0.25
YAL004W,YAL004W,6319313,,S000002136,ORF|Dubious,39,10.68,,,,,,,0,0,0,,,,,,,,,2.16,,,23811,5.04,0.198,215,0.295,0.589,-0.032558,0.07907,,
YAL005C,SSA1,6319314,,S000000004,ORF|Verified,213,57.77,159,1,255901,121,1,171741,0.008774834,0.005997819,0.00731185,-3.18,32395,27461.5,269000,303000,275967.0277,5,13.4,10.94,9.78,28217,69767,4.82,0.709,642,0.76,0.858,-0.426013,0.063863,163,0.25
YAL007C,ERP2,6319312,,S000000005,ORF|Verified,51,10.41,,,,,,,0,0,0,,671.5,410.5,26300,,,4,2.2,2.07,2.756666667,,24063,4.83,0.235,215,0.23,0.557,0.147907,0.102326,52,0.24
YAL008W,FUN14,6319311,,S000000006,ORF|Verified,70,18.44,1,0.41,2067,,,,5.52E-05,0,2.61E-05,-1.06,,,1920,,1993.64239,1,1.2,2.8,1.666666667,,22063,11.27,0.115,198,0.084,0.439,0.283838,0.10101,31,0.16
YAL009W,SPO7,6319310,,S000000007,ORF|Verified,107,24.71,,,,,,,0,0,0,,,,861,,,,0.6,1.52,1.06,,30113,10.84,0.111,259,0.03,0.424,-0.32085,0.119691,59,0.23
YAL010C,MDM10,6319309,,S000000008,ORF|Verified,133,40.81,2,0.39,1777,,,,0.000110375,0,5.22E-05,-1.49,,,768,,1272.536718,,0.3,1.94,1.12,,56250,7.3,0.119,493,-0.025,0.388,-0.473834,0.11359,149,0.3
YAL011W,YAL011W,6319308,,S000000009,ORF|Verified,299,57.09,,,,1,0.37,531,0,4.96E-05,2.61E-05,0.95,,,1380,,,,0.4,1.22,0.81,,72514,9.95,0.148,625,0.085,0.462,-1.10736,0.0544,176,0.28
YAL012W,CYS3,6319307,,S000000010,ORF|Verified,97,27.25,38,1,129657,62,1,186559,0.00209713,0.003073263,0.002611375,1.87,1838,1232.5,38300,,83978.27438,12,8.9,5.91,8.936666667,9397,42542,6.52,0.42,394,0.548,0.728,-0.144416,0.06599,95,0.24
YAL013W,DEP1,6319306,,S000000011,ORF|Verified,120,28.54,,,,,,,0,0,0,,,,,,,,0.6,1.03,0.815,,48671,4.47,0.107,420,0.082,0.465,-0.995,0.064286,127,0.3
YAL014C,UIP2,6319305,,S000000012,ORF|Verified,61,19.58,,,,,,,0,0,0,,,,,,,1,1.1,0.81,0.97,,29048,4.49,0.1,255,0.034,0.418,-0.507451,0.039216,60,0.24
YAL015C,NTG1,6319304,,S000000013,ORF|Verified,145,43.09,,,,,,,0,0,0,,,,,,,1,0.7,1.06,0.92,,45577,8.06,0.12,399,0.077,0.456,-0.349373,0.067669,103,0.26
YAL016W,TPD3,6319303,,S000000014,ORF|Verified,162,43.76,,,,,,,0,0,0,,772.5,740.5,16900,,,5,3.3,1.06,3.12,,70906,4.38,0.177,635,0.115,0.47,0.085512,0.072441,139,0.22
YAL017W,FUN31,6319302,,S000000015,ORF|Verified,406,116.19,,,,,,,0,0,0,,,,967,,,2,0.4,1.67,1.356666667,,152329,5.56,0.126,1356,0.012,0.414,-0.471534,0.074484,391,0.29
YAL018C,YAL018C,6319301,,S000000016,ORF|Uncharacterized,49,13.01,,,,,,,0,0,0,,,,,,,,,0.68,,,37050,9.42,0.154,325,0.097,0.466,0.440923,0.172308,66,0.2
YAL019W,FUN30,6319300,,S000000017,ORF|Verified,376,94.78,1,0.68,667,,,,5.52E-05,0,2.61E-05,-1.06,86.5,62,6800,,3733.533591,,0.9,0.99,0.945,,128506,5.13,0.163,1131,0.081,0.461,-0.766844,0.068081,293,0.26
YAL020C,ATS1,6319299,,S000000018,ORF|Verified,77,20.7,,,,,,,0,0,0,,,,,,,,0.7,0.6,0.65,,36481,6.7,0.059,333,-0.082,0.346,-0.318318,0.084084,63,0.19
YAL021C,CCR4,6319298,,S000000019,ORF|Verified,202,56.62,1,0.28,460,,,,5.52E-05,0,2.61E-05,-1.06,,,2780,,1619.898183,,1.3,1.48,1.39,,94669,6.84,0.137,837,0.117,0.473,-0.559976,0.0908,187,0.22
YAL022C,FUN26,6319297,,S000000020,ORF|Verified,90,20.54,7,0.4,12675,,,,0.000386313,0,0.000182796,-2.79,,,217,,6445.810172,1,0.9,0.82,0.906666667,,58317,4.79,0.119,517,0.078,0.461,0.262669,0.121857,132,0.26
YAL023C,PMT2,6319296,,S000000021,ORF|Verified,178,44.58,3,0.78,4880,,,,0.000165563,0,7.83E-05,-1.83,68.5,58.9174475,6510,,5695.187313,1,2.7,2.96,2.22,,86869,7.68,0.24,759,0.337,0.599,-0.052437,0.147563,169,0.22
YAL024C,LTE1,6319295,,S000000022,ORF|Verified,447,138.23,,,,,,,0,0,0,,,,304,,,,0.2,1.98,1.09,,163149,6.43,0.123,1435,-0.008,0.41,-0.603136,0.068293,438,0.31
YAL025C,MAK16,6319294,,S000000023,ORF|Verified,127,22.99,,,,,,,0,0,0,,,,,,,1,2.5,1.37,1.623333333,,35694,5.07,0.219,306,0.202,0.534,-1.184968,0.068627,85,0.28
YAL026C,DRS2,6319293,,S000000024,ORF|Verified,360,89.38,,,,2,0.54,991,0,9.91E-05,5.22E-05,1.34,214.5,113.3188353,606,,,,0.7,2.04,1.37,,153843,5.34,0.188,1355,0.14,0.497,-0.212546,0.110701,315,0.23
YAL027W,YAL027W,6319292,,S000000025,ORF|Uncharacterized,88,20.94,,,,,,,0,0,0,,,,1170,,,,0.6,1.24,0.92,,29769,10.12,0.112,261,-0.018,0.406,-0.255173,0.061303,59,0.23
YAL028W,YAL028W,6319291,,S000000026,ORF|Verified,170,40.77,3,0.63,4310,,,,0.000165563,0,7.83E-05,-1.83,,,,,,1,0.2,1.28,0.826666667,,58749,9.43,0.113,528,-0.009,0.392,-0.6875,0.060606,162,0.31
YAL029C,MYO4,6319290,,S000000027,ORF|Verified,481,127.84,3,0.71,1549,,,,0.000165563,0,7.83E-05,-1.83,112,118,2210,,1879.569181,1,1,2.58,1.526666667,,169342,7.63,0.15,1471,0.094,0.472,-0.328076,0.096533,337,0.23
YAL030W,SNC1,6319289,,S000000028,ORF|Verified,40,8.09,,,,,,,0,0,0,,,,,,,2,1.6,1.47,1.69,,13201,8.42,0.132,117,0.077,0.45,-0.219658,0.051282,25,0.21
YAL031C,FUN21,6319288,,S000000029,ORF|Verified,269,64.67,,,,4,0.54,2739,0,0.000198275,0.000104455,1.9,,,227,,,,0.4,1.54,0.97,,86635,10.51,0.123,760,0.062,0.436,-0.455921,0.075,223,0.29
YAL032C,PRP45,6319287,,S000000030,ORF|Verified,155,46.84,,,,3,0.47,2468,0,0.000148706,7.83E-05,1.64,,,1670,,,,0.1,1.06,0.58,,42482,9.93,0.139,379,0.139,0.481,-0.826121,0.055409,97,0.26
YAL033W,POP5,6319286,,S000000031,ORF|Verified,66,18.02,,,,,,,0,0,0,,295.5,302.8396515,2230,,,,1.2,2.18,1.69,,19573,7.83,0.093,173,-0.008,0.417,-0.242775,0.052023,39,0.23
YAL034C,FUN19,6319285,,S000002134,ORF|Verified,176,53.18,,,,,,,0,0,0,,,,,,,1,0.2,0.9,0.7,,47068,10.71,0.125,413,0.073,0.43,-0.835351,0.094431,113,0.27
YAL034C-B,YAL034C-B,6319284,,S000002137,ORF|Dubious,37,5.98,,,,,,,0,0,0,,,,,,,,,,,,13264,10.32,0.105,117,-0.095,0.369,0.362393,0.08547,,
YAL034W-A,MTW1,6319283,,S000000032,ORF|Verified,121,29.23,,,,,,,0,0,0,,,,2610,,,1,,1.82,1.41,,33243,4.96,0.109,289,-0.055,0.375,-0.529066,0.048443,70,0.24
YAL035W,FUN12,6319282,,S000000033,ORF|Verified,405,81.54,,,,,,,0,0,0,,2539,1874,13400,,,2,8.8,5.31,5.37,,112268,5.55,0.355,1002,0.416,0.654,-0.740918,0.043912,269,0.27
YAL036C,FUN11,6319281,,S000000034,ORF|Verified,124,35,3,0.33,2630,1,0.22,515,0.000165563,4.96E-05,0.000104455,-1.11,823.5,414.5,11700,,7164.965994,3,3.9,2.62,3.173333333,,40701,8.49,0.239,369,0.244,0.548,-0.131707,0.056911,83,0.22
YAL037W,YAL037W,6319280,,S000000035,ORF|Uncharacterized,68,16,,,,,,,0,0,0,,,,,,,,0.2,2,1.1,,30457,8.04,0.094,267,-0.07,0.378,-0.122846,0.097378,64,0.24
YAL038W,CDC19,6319279,,S000000036,ORF|Verified,157,52.3,516,1,917330,484,1,758812,0.028476821,0.023991276,0.026113752,-2.75,11386.5,9188,291000,,604164.7711,141,50.4,31.69,74.36333333,8124,54544,7.66,0.893,500,0.882,0.93,-0.148,0.062,118,0.24
YAL039C,CYC3,6319278,,S000000037,ORF|Verified,67,17.41,,,,,,,0,0,0,,,,3870,,,2,1.8,1.09,1.63,,30081,5.26,0.114,269,0.1,0.448,-0.648699,0.081784,79,0.29
YAL040C,CLN3,6319277,,S000000038,ORF|Verified,138,32.67,,,,,,,0,0,0,,,,,,,1,1.1,1.96,1.353333333,,64990,9.78,0.205,580,0.236,0.536,-0.261035,0.098276,179,0.31
YAL041W,CDC24,6319276,,S000000039,ORF|Verified,236,74.26,,,,,,,0,0,0,,114.5,131,1010,,,,0.4,2.68,1.54,,96939,8.69,0.128,854,0.048,0.442,-0.477635,0.076112,258,0.3
YAL042C-A,KRE23,6319275,,S000002138,ORF|Dubious,33,7.8,,,,,,,0,0,0,,,,,,,,,,,,13704,9.6,0.095,125,0.028,0.417,0.0544,0.064,,
YAL042W,ERV46,6319274,,S000000040,ORF|Verified,98,22.95,,,,,,,0,0,0,,,,,,,,3.9,2.51,3.205,,46235,6.81,0.118,415,0.096,0.46,-0.399759,0.089157,85,0.2
YAL043C,PTA1,6319273,,S000000041,ORF|Verified,225,66.39,,,,,,,0,0,0,,99,84,3730,,,,0.3,1.86,1.08,,88472,6.17,0.13,785,0.133,0.478,-0.362548,0.06879,226,0.29
YAL044C,GCV3,6319272,,S000000042,ORF|Verified,39,12.68,,,,25,1,161663,0,0.001239219,0.000652844,4.74,495.5,2739.626551,3510,,,1,10.6,3.6,5.066666667,,18795,4.49,0.164,170,0.143,0.488,-0.452353,0.070588,51,0.3
YAL044W-A,YAL044W-A,12621476,,S000007586,ORF|Uncharacterized,42,10.46,,,,,,,0,0,0,,,,238,,,,,,,,12537,10.39,0.138,110,0.122,0.467,-0.620909,0.090909,22,0.2
YAL045C,YAL045C,6319271,,S000000043,ORF|Dubious,21,4.14,,,,,,,0,0,0,,,,,,,,,1.77,,,11648,7.04,0.107,102,0.031,0.421,0.358824,0.088235,,
YAL046C,YAL046C,6319270,,S000000044,ORF|Uncharacterized,51,13.21,,,,,,,0,0,0,,,,259,,,,0.8,3.31,2.055,,13356,10.72,0.113,118,0.141,0.486,-0.426271,0.050847,31,0.26
YAL047C,SPC72,6319269,,S000000045,ORF|Verified,203,54.81,,,,,,,0,0,0,,,,639,,,,0.2,3.14,1.67,,72104,4.81,0.143,622,0.053,0.453,-0.777813,0.053055,176,0.28
YAL048C,YAL048C,6319268,,S000000046,ORF|Uncharacterized,194,50.73,,,,,,,0,0,0,,,,,,,,0.1,1.27,0.685,,75149,5.85,0.144,662,0.068,0.45,-0.155287,0.098187,159,0.24
YAL049C,YAL049C,6319267,,S000000047,ORF|Uncharacterized,66,21.41,,,,,,,0,0,0,,,,1800,,,2,2.4,1.62,2.006666667,,27089,6.24,0.172,246,0.08,0.461,-0.081301,0.109756,48,0.2
YAL051W,OAF1,6319266,,S000000048,ORF|Verified,295,79.28,3,0.89,3131,2,0.88,1820,0.000165563,9.91E-05,0.000130569,-0.57,,,92.3,,1611.801114,,0.6,2.05,1.325,1216,118862,6.82,0.143,1047,0.057,0.441,-0.268004,0.090735,275,0.26
YAL053W,YAL053W,6319265,,S000000049,ORF|Uncharacterized,167,44.62,,,,1,0.67,1231,0,4.96E-05,2.61E-05,0.95,,,414,,,,1.8,2.27,2.035,,87462,7.78,0.166,783,0.187,0.518,0.229119,0.12516,178,0.23
YAL054C,ACS1,6319264,,S000000050,ORF|Verified,190,54.36,,,,,,,0,0,0,,,,2890,,,1,0.3,,0.65,,79140,6.6,0.255,713,0.311,0.589,-0.27195,0.096774,176,0.25
YAL055W,PEX22,6319263,,S000000051,ORF|Verified,66,13.91,,,,,,,0,0,0,,,,259,,,1,0.8,0.8,0.866666667,,19877,8.33,0.087,180,-0.119,0.345,-0.298333,0.066667,44,0.24
YAL056C-A,KRE20,6319261,,S000002139,ORF|Dubious,35,8.97,,,,,,,0,0,0,,,,,,,,,,,,12969,10.93,0.111,116,0.052,0.414,0.284483,0.077586,,
YAL056W,KRH1,6319262,,S000000052,ORF|Verified,247,68.6,,,,,,,0,0,0,,,,,,,1,0.8,1.7,1.166666667,,98611,7.41,0.113,880,-0.013,0.396,-0.459091,0.089773,229,0.26
YAL058W,CNE1,6319260,,S000000054,ORF|Verified,121,30.91,,,,,,,0,0,0,,,,4760,,,,0.6,3.05,1.825,,56967,5.04,0.109,502,0.028,0.425,-0.344821,0.089641,135,0.27
YAL059W,ECM1,6319259,,S000000055,ORF|Verified,114,26.56,,,,,,,0,0,0,,200.5,81,2840,,,1,3.4,1.6,2,,23935,10.42,0.174,212,0.15,0.488,-0.830189,0.042453,53,0.25
YAL060W,BDH1,6319258,,S000000056,ORF|Verified,96,21.27,,,,,,,0,0,0,,536.5,1372,8730,,,1,1.8,1.14,1.313333333,,41538,6.64,0.224,382,0.258,0.566,-0.049738,0.065445,86,0.23
YAL061W,YAL061W,6319257,,S000000057,ORF|Uncharacterized,117,25.73,,,,,,,0,0,0,,47.5,129,3090,,,,0.2,0.79,0.495,,46098,6.04,0.144,417,0.152,0.495,-0.235252,0.069544,90,0.22
YAL062W,GDH3,6319256,,S000000058,ORF|Verified,127,37.85,,,,1,0.21,455,0,4.96E-05,2.61E-05,0.95,,,,,,1,0.2,0.97,0.723333333,,49627,5.23,0.156,457,0.165,0.506,-0.193217,0.091904,108,0.24
YAL063C,FLO9,6319255,,S000000059,ORF|Verified,60,11.84,,,,,,,0,0,0,,,,,,,,,0.71,,,138072,4,0.24,1322,0.34,0.623,-0.120272,0.058245,677,0.51
YAL064C-A,YAL064C-A,7839146,,S000002140,ORF|Uncharacterized,11,1.81,,,,,,,0,0,0,,,,,,,,,1.41,,,13885,4.14,0.209,126,0.241,0.554,0.01746,0.150794,33,0.26
YAL064W,YAL064W,6319254,,S000000060,ORF|Uncharacterized,36,7.9,,,,,,,0,0,0,,,,,,,,,2.24,,,12772,10.99,0.099,108,0.013,0.4,-0.241667,0.138889,26,0.24
YAL066W,YAL066W,6319251,,S000000061,ORF|Dubious,37,12.64,,,,,,,0,0,0,,,,,,,,,2.86,,,12113,11.06,0.111,102,-0.013,0.408,0.644117,0.098039,,
YAL067C,SEO1,6319250,,S000000062,ORF|Verified,156,29.7,,,,,,,0,0,0,,,,,,,,0.1,1.24,0.67,,68842,8.05,0.184,593,0.135,0.495,-0.062732,0.155143,124,0.21
YAL068C,YAL068C,6319249,,S000002142,ORF|Uncharacterized,15,4.97,,,,,,,0,0,0,,,,,,,,1.7,0.28,0.99,,12850,5.04,0.628,120,0.696,0.817,0.254167,0.091667,32,0.27
YAL069W,YAL069W,6319248,,S000002143,ORF|Dubious,2,0.05,,,,,,,0,0,0,,,,,,,,,0.39,,,11336,7.04,0.082,104,-0.07,0.369,0.541346,0.067308,,
YAR002C-A,ERP1,6319319,,S000002129,ORF|Verified,73,15.64,,,,,,,0,0,0,,1049,538.5,20700,,,8,,3.02,5.51,,24723,7.42,0.325,219,0.345,0.616,-0.130594,0.09589,37,0.17
YAR002W,NUP60,6319318,,S000000063,ORF|Verified,185,57.66,,,,1,0.23,327,0,4.96E-05,2.61E-05,0.95,174,140.5,4590,,,1,1.2,1.44,1.213333333,,59039,10.16,0.143,539,0.067,0.447,-0.832653,0.070501,194,0.36
YAR003W,SWD1,6319320,,S000000064,ORF|Verified,84,23.73,,,,,,,0,0,0,,,,907,,,,1,1.96,1.48,,48654,4.52,0.129,426,0.052,0.446,-0.288498,0.093897,118,0.28
YAR007C,RFA1,6319321,,S000000065,ORF|Verified,189,58.09,,,,,,,0,0,0,,,,4100,,,,0.9,1.83,1.365,,70347,6.13,0.206,621,0.187,0.523,-0.558937,0.095008,139,0.22
YAR008W,SEN34,6319322,,S000000066,ORF|Verified,104,25.36,,,,1,0.71,2296,0,4.96E-05,2.61E-05,0.95,,,,,,,1.5,3.3,2.4,,31313,7.75,0.121,275,0.018,0.411,-0.281818,0.087273,54,0.2
YAR009C,YAR009C,6319323,,S000000067,transposable_element_gene,394,94.07,,,,,,,0,0,0,,,,2220,,,,12.8,2.36,7.58,,136731,9.1,,1196,,,,,335,0.28
YAR010C,YAR010C,6319324,,S000000068,transposable_element_gene,92,21.69,,,,,,,0,0,0,,,,,,,,5.7,4.59,5.145,,49072,7.67,,440,,,,,152,0.35
YAR014C,BUD14,6319325,,S000000069,ORF|Verified,190,51.94,,,,9,0.74,10514,0,0.000446119,0.000235024,2.84,185,146,538,,,,0.9,1,0.95,,79062,4.26,0.12,707,-0.039,0.388,-1.067468,0.066478,226,0.32
YAR015W,ADE1,6319326,,S000000070,ORF|Verified,114,38.59,5,0.94,11324,8,0.97,16488,0.000275938,0.00039655,0.000339479,0.64,1013,2335,4280,14000,9868.005093,7,4.3,3.51,4.936666667,1999,34603,5.8,0.23,306,0.292,0.584,-0.395425,0.091503,78,0.25
YAR018C,KIN3,6319327,,S000000071,ORF|Verified,152,35.43,,,,,,,0,0,0,,,,,,,,0.7,0.91,0.805,,51203,8.65,0.138,435,0.064,0.454,-0.665977,0.110345,103,0.24
YAR019C,CDC15,6319328,,S000000072,ORF|Verified,276,77.01,4,0.59,2849,,,,0.000220751,0,0.000104455,-2.11,,,238,,1543.663347,,0.2,1.19,0.695,,110283,7.97,0.138,974,0.071,0.455,-0.113655,0.097536,248,0.25
YAR020C,PAU7,6319329,,S000000073,ORF|Verified,9,3.22,,,,,,,0,0,0,,,,,,,,6.1,,,,5674,4.76,0.482,55,0.494,0.685,0.558182,0.072727,13,0.24
YAR023C,YAR023C,6319330,,S000000074,ORF|Uncharacterized,37,8.45,,,,1,0.51,4949,0,4.96E-05,2.61E-05,0.95,,,,,,,0.2,0.52,0.36,,20621,7.83,0.103,179,-0.032,0.405,0.073743,0.134078,42,0.23
YAR027W,UIP3,6319331,,S000000075,ORF|Verified,51,11.76,,,,,,,0,0,0,,,,1690,,,3,1.3,,2.15,,27116,6.1,0.128,235,-0.001,0.425,0.093617,0.119149,60,0.26
YAR028W,YAR028W,6319332,,S000000076,ORF|Uncharacterized,40,14.52,,,,,,,0,0,0,,,,1840,,,,0.3,0.74,0.52,,26458,5.01,0.122,234,0.028,0.436,0.010684,0.111111,63,0.27
YAR029W,YAR029W,6319333,,S000000077,ORF|Uncharacterized,16,3.08,,,,,,,0,0,0,,,,,,,,0.1,,,,8910,4.55,0.116,74,-0.087,0.375,-0.782432,0.175676,23,0.31
YAR030C,YAR030C,6319335,,S000001821,ORF|Dubious,39,5.58,,,,,,,0,0,0,,,,,,,,,0.68,,,13288,11.08,0.103,113,0.012,0.391,0.245133,0.123894,,
YAR031W,PRM9,6319334,,S000000078,ORF|Verified,100,23.5,,,,,,,0,0,0,,,,259,,,1,0.1,0.71,0.603333333,,35073,8.08,0.107,298,-0.085,0.369,-0.329195,0.161074,73,0.24
YAR033W,YAR033W,6319336,,S000000079,ORF|Verified,63,17.65,,,,,,,0,0,0,,,,,,,,0.6,0.47,0.535,,27091,7.51,0.107,234,0.007,0.41,-0.212821,0.119658,59,0.25
YAR035W,YAT1,6319337,,S000000080,ORF|Verified,195,48.46,,,,,,,0,0,0,,,,,,,,0.2,0.5,0.35,,77765,6.91,0.093,687,0.118,0.466,-0.38559,0.101892,167,0.24
YAR042W,SWH1,6319338,,S000000081,ORF|Verified,64,19.59,,,,,,,0,0,0,,,,,,,,0.4,0.78,0.59,,135069,5.34,0.176,1188,0.143,0.493,-0.757576,0.077441,307,0.26
