ORF,Gene,Description,Number of peptides,glucose,maltose,oleate,fructose,sucrose,trehalose,lactate,acetate,pryuvate,glycerol
YCR004C,YCP4,"Protein of unknown function, has sequence and structural similarity to flavodoxins; predicted to be palmitoylated; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies",40,5181.870,16809.700,17134.300,6519.970,5284.200,16575.200,15509.900,10945.000,9659.270,14378.500
YDR032C,PST2,"Protein with similarity to members of a family of flavodoxin-like proteins; induced by oxidative stress in a Yap1p dependent manner; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies",69,3616.130,20138.800,14011.600,4293.870,3523.410,15260.900,17774.400,12512.500,12773.600,10865.900
YBL107C,YBL107C,Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm; YBL107C is not an essential gene,15,1457.470,2624.410,2141.080,1734.840,2019.620,2907.750,2787.010,3160.880,3039.920,2640.520
YMR142C,RPL13B,"Protein component of the large (60S) ribosomal subunit, nearly identical to Rpl13Ap; not essential for viability; has similarity to rat L13 ribosomal protein",108,38275.600,20347.200,11645.700,38589.600,38400.900,11763.000,14008.200,17314.500,20241.900,16611.500
YKL141W,SDH3,"Cytochrome b subunit of succinate dehydrogenase (Sdh1p, Sdh2p, Sdh3p, Sdh4p), which couples the oxidation of succinate to the transfer of electrons to ubiquinone as part of the TCA cycle and the mitochondrial respiratory chain",15,699.217,4874.000,7670.120,720.139,873.050,6180.090,7155.830,6234.040,6814.570,8212.340
YPL249C,GYP5,"GTPase-activating protein (GAP) for yeast Rab family members; involved in ER to Golgi trafficking; exhibits GAP activity toward Ypt1p that is stimulated by Gyl1p, also acts on Sec4p; interacts with Gyl1p, Rvs161p and Rvs167p; involved in recruiting Rvs167p to the bud tip during polarized growth",47,6702.860,10040.600,8149.730,6981.470,6643.240,10384.300,9854.130,9550.200,8858.310,8914.540
YLR355C,ILV5,Bifunctional acetohydroxyacid reductoisomerase and mtDNA binding protein; involved in branched-chain amino acid biosynthesis and maintenance of wild-type mitochondrial DNA; found in mitochondrial nucleoids,347,46489.900,39052.800,38321.200,47128.600,45394.400,44617.000,58239.000,97484.000,66132.300,40141.200
YHR119W,SET1,"Histone methyltransferase, subunit of the COMPASS (Set1C) complex; COMPASS methylates histone H3K4; Set1p-dependent H3K4 trimethylation recruits Nrd1p, allowing efficient termination of snoRNAs and cryptic unstable transcripts (CUTs) by Nrd1p-Nab3p-Sen1p pathway; modulates histone acetylation levels in promoter proximal regions to ensure efficient Nrd1p-dependent termination; required in transcriptional silencing near telomeres and at silent mating type loci; has a SET domain",25,4911.150,2436.420,3416.240,4644.360,5027.400,3103.700,3769.270,2896.380,4357.370,4151.940
YPL214C,THI6,"Bifunctional enzyme with thiamine-phosphate pyrophosphorylase and 4-methyl-5-beta-hydroxyethylthiazole kinase activities, required for thiamine biosynthesis; GFP-fusion protein localizes to the cytoplasm in a punctate pattern",10,853.305,2547.440,2171.680,985.902,883.345,2203.190,3321.160,3333.210,2849.010,2077.300
YPL014W,YPL014W,Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm and to the nucleus,4,233.427,86.157,104.552,295.492,172.407,128.008,100.122,211.840,83.947,179.017
YBL072C,RPS8A,Protein component of the small (40S) ribosomal subunit; identical to Rps8Bp and has similarity to rat S8 ribosomal protein,96,20439.600,7879.220,7395.480,20353.900,20011.300,6507.200,7509.840,9122.270,11027.200,8789.300
YLR447C,VMA6,"Subunit d of the five-subunit V0 integral membrane domain of vacuolar H+-ATPase (V-ATPase), an electrogenic proton pump found in the endomembrane system; stabilizes VO subunits; required for V1 domain assembly on the vacuolar membrane",52,8715.210,6072.310,6015.920,8591.260,8992.260,6786.230,5755.150,9257.920,6783.870,5961.050
YLR051C,FCF2,Essential nucleolar protein involved in the early steps of 35S rRNA processing; interacts with Faf1p; member of a transcriptionally co-regulated set of genes called the RRB regulon,18,11141.800,2557.810,2739.790,9795.070,9352.880,2769.880,3551.030,2264.730,4968.690,4451.200
YMR213W,CEF1,"Essential splicing factor; associated with Prp19p and the spliceosome, contains an N-terminal c-Myb DNA binding motif necessary for cell viability but not for Prp19p association, evolutionarily conserved and homologous to S. pombe Cdc5p",23,3841.460,3874.520,3831.910,3757.950,4906.860,4074.400,4222.730,4404.340,4013.370,4146.770
YPR113W,PIS1,"Phosphatidylinositol synthase, required for biosynthesis of phosphatidylinositol, which is a precursor for polyphosphoinositides, sphingolipids, and glycolipid anchors for some of the plasma membrane proteins",9,3392.070,1753.450,1727.900,3524.500,3133.460,1948.260,1599.530,1542.540,1626.040,2309.470
YCL026C-B,HBN1,Putative protein of unknown function; similar to bacterial nitroreductases; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm and nucleus; protein becomes insoluble upon intracellular iron depletion,19,1619.500,3482.800,6723.020,1753.190,3012.430,5362.710,4184.890,12188.100,8814.680,5217.810
YGR282C,BGL2,"Endo-beta-1,3-glucanase, major protein of the cell wall, involved in cell wall maintenance",41,6054.380,9228.180,12905.500,4822.900,5948.440,10165.000,11480.200,10254.700,13489.900,10951.500
YDR381W,YRA1,"RNA binding protein required for export of poly(A)+ mRNA from the nucleus; proposed to couple mRNA export with 3' end processing via its interactions with Mex67p and Pcf11p; functionally redundant with Yra2p, another REF family member",42,15656.000,8850.940,9811.950,14355.900,14678.700,10346.800,10659.700,10702.400,12246.100,11690.700
YGR236C,SPG1,"Protein required for survival at high temperature during stationary phase; not required for growth on nonfermentable carbon sources; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies",7,255.308,5884.950,372.481,172.522,177.917,3632.670,738.488,65.923,121.413,490.954
YNL232W,CSL4,Exosome non-catalytic core component; involved in 3'-5' RNA processing and degradation in both the nucleus and the cytoplasm; predicted to contain an S1 RNA binding domain; has similarity to human hCsl4p (EXOSC1),13,4371.500,2550.490,2703.080,4031.940,4315.150,2720.590,2560.880,3115.170,3098.970,2690.050
YNL159C,ASI2,Integral inner nuclear membrane protein that acts with Asi1p and Asi3p to ensure the fidelity of SPS-sensor signalling by maintaining the dormant repressed state of gene expression in the absence of inducing signals,9,1791.850,803.851,1397.620,1289.630,1283.640,905.967,963.933,1061.150,1378.550,1167.820
YNL169C,PSD1,"Phosphatidylserine decarboxylase of the mitochondrial inner membrane, converts phosphatidylserine to phosphatidylethanolamine",24,5165.110,3329.580,5423.000,5016.760,5237.930,4209.920,3792.270,6400.830,6225.600,5239.610
YGL082W,YGL082W,Putative protein of unknown function; predicted prenylation/proteolysis target of Afc1p and Rce1p; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm and nucleus; YGL082W is not an essential gene,19,3442.850,4231.920,5100.010,3445.520,3795.500,4133.710,3444.920,4823.350,3064.820,3267.780
YDR174W,HMO1,"Chromatin associated high mobility group (HMG) family member involved in genome maintenance; rDNA-binding component of the Pol I transcription system; associates with a 5'-3' DNA helicase and Fpr1p, a prolyl isomerase",20,3734.090,3127.210,3581.990,3619.480,3499.320,3295.390,4127.530,4916.820,4567.060,3243.430
YDR176W,NGG1,"Transcriptional regulator involved in glucose repression of Gal4p-regulated genes; component of transcriptional adaptor and histone acetyltransferase complexes, the ADA complex, the SAGA complex, and the SLIK complex",33,5684.190,5794.200,5727.120,5439.930,5459.070,6240.280,6232.160,6048.440,6112.490,5630.820
YPR058W,YMC1,"Mitochondrial protein, putative inner membrane transporter with a role in oleate metabolism and glutamate biosynthesis; member of the mitochondrial carrier (MCF) family; has similarity with Ymc2p",20,1892.740,2482.180,2830.760,1953.360,2325.400,2949.150,2735.180,3447.660,3804.500,3228.700
YER091C,MET6,"Cobalamin-independent methionine synthase, involved in methionine biosynthesis and regeneration; requires a minimum of two glutamates on the methyltetrahydrofolate substrate, similar to bacterial metE homologs",278,83404.800,42108.000,63504.200,86470.900,82704.200,49537.600,26924.300,52760.700,47789.200,60926.800
YER070W,RNR1,"Major isoform of the large subunit of ribonucleotide-diphosphate reductase; the RNR complex catalyzes rate-limiting step in dNTP synthesis, regulated by DNA replication and DNA damage checkpoint pathways via localization of small subunits",108,35201.600,4169.910,8532.970,42378.600,41852.100,6213.550,11602.800,5257.670,15948.700,22083.600
YIL066C,RNR3,"Minor isoform of the large subunit of ribonucleotide-diphosphate reductase; the RNR complex catalyzes rate-limiting step in dNTP synthesis, regulated by DNA replication and DNA damage checkpoint pathways via localization of small subunits",16,1281.490,4250.690,903.497,1126.950,778.998,2916.580,1522.320,2021.620,921.133,1702.560
YER052C,HOM3,Aspartate kinase (L-aspartate 4-P-transferase); cytoplasmic enzyme that catalyzes the first step in the common pathway for methionine and threonine biosynthesis; expression regulated by Gcn4p and the general control of amino acid synthesis,40,13045.400,6858.290,7895.290,12770.200,14459.400,8161.580,9609.880,8177.310,13041.900,9529.300
YLR363W-A,YLR363W-A,Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the nucleus,5,799.068,372.788,1199.940,661.740,621.238,585.890,922.603,1206.900,899.358,500.319
YPL096W,PNG1,Conserved peptide N-glycanase required for deglycosylation of misfolded glycoproteins during proteasome-dependent degradation; localizes to the cytoplasm and nucleus; activity is enhanced by interaction with Rad23p,25,2988.620,5103.930,3709.730,3103.420,3253.860,4776.820,5230.450,3071.820,4052.860,4320.030
YDR348C,YDR348C,Protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cell periphery and bud neck; potential Cdc28p substrate,32,4915.950,3045.750,3356.310,5328.540,4743.480,3943.450,3671.710,3538.110,4766.660,4390.640
YCL004W,PGS1,"Phosphatidylglycerolphosphate synthase, catalyzes the synthesis of phosphatidylglycerolphosphate from CDP-diacylglycerol and sn-glycerol 3-phosphate in the first committed and rate-limiting step of cardiolipin biosynthesis",14,1645.630,2340.690,2200.870,1596.070,1646.980,2322.100,2544.730,2508.900,2178.940,2289.910
YLR427W,MAG2,Cytoplasmic protein of unknown function; induced in response to mycotoxin patulin; ubiquitinated protein similar to the human ring finger motif protein RNF10; predicted to be involved in repair of alkylated DNA due to interaction with MAG1,20,3186.290,2198.280,2500.850,3391.030,3518.050,2770.360,2745.390,3048.480,3200.320,2468.590
YHR097C,YHR097C,Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm and the nucleus,18,2147.210,5901.220,4526.560,2049.580,1716.690,6128.500,5024.630,5016.960,2915.640,6183.870
YPR189W,SKI3,"Ski complex component and TPR protein, mediates 3'-5' RNA degradation by the cytoplasmic exosome; null mutants have superkiller phenotype of increased viral dsRNAs and are synthetic lethal with mutations in 5'-3' mRNA decay",81,26500.800,17789.200,13754.900,26368.200,27220.400,18388.300,18015.600,14141.600,17407.400,18951.500
YJL133W,MRS3,"Iron transporter that mediates Fe2+ transport across the inner mitochondrial membrane; mitochondrial carrier family member, similar to and functionally redundant with Mrs4p; active under low-iron conditions; may transport other cations",9,964.425,1126.270,1703.780,1239.920,1786.340,1510.840,1500.910,2323.830,2018.300,1720.160
YKR052C,MRS4,"Iron transporter that mediates Fe2+ transport across the inner mitochondrial membrane; mitochondrial carrier family member, similar to and functionally redundant with Mrs3p; active under low-iron conditions; may transport other cations",8,882.310,1243.400,1246.470,1255.490,1542.000,1219.340,1406.010,2225.330,2291.550,1451.970
YJR051W,OSM1,"Fumarate reductase, catalyzes the reduction of fumarate to succinate, required for the reoxidation of intracellular NADH under anaerobic conditions; mutations cause osmotic sensitivity",29,5288.300,6056.910,6602.030,5373.890,5012.140,6597.380,6685.680,6245.850,7256.150,6730.010
YJL186W,MNN5,"Alpha-1,2-mannosyltransferase, responsible for addition of the second alpha-1,2-linked mannose of the branches on the mannan backbone of oligosaccharides, localizes to an early Golgi compartment",46,11536.200,7147.820,13281.900,11415.500,11852.800,9389.220,11262.800,6366.560,10621.800,12711.600
YPL132W,COX11,Mitochondrial inner membrane protein required for delivery of copper to the Cox1p subunit of cytochrome c oxidase; association with mitochondrial ribosomes suggests that copper delivery may occur during translation of Cox1p,16,1757.920,3653.350,3173.540,2206.290,2294.280,3869.140,3357.960,3910.590,3350.440,4505.180
YNL141W,AAH1,"Adenine deaminase (adenine aminohydrolase), converts adenine to hypoxanthine; involved in purine salvage; transcriptionally regulated by nutrient levels and growth phase; Aah1p degraded upon entry into quiescence via SCF and the proteasome",24,12897.500,768.460,2533.620,14426.500,15359.500,840.177,1833.670,981.024,5295.570,1996.020
YGR100W,MDR1,"Cytoplasmic GTPase-activating protein for Ypt/Rab transport GTPases Ypt6p, Ypt31p and Sec4p; involved in recycling of internalized proteins and regulation of Golgi secretory function",35,5524.660,9852.820,6497.210,5786.660,5580.990,8939.010,8897.430,6585.310,7432.620,8652.290
YDL143W,CCT4,"Subunit of the cytosolic chaperonin Cct ring complex, related to Tcp1p, required for the assembly of actin and tubulins in vivo",62,17845.600,10685.700,9931.490,16899.500,18040.500,10672.000,10155.300,12352.900,11538.900,11136.700
YNL302C,RPS19B,"Protein component of the small (40S) ribosomal subunit, required for assembly and maturation of pre-40 S particles; mutations in human RPS19 are associated with Diamond Blackfan anemia; nearly identical to Rps19Ap",129,36182.200,20866.000,17774.100,39291.700,36201.200,19297.800,18755.300,20142.300,22345.800,20915.400
YLR351C,NIT3,"Nit protein, one of two proteins in S. cerevisiae with similarity to the Nit domain of NitFhit from fly and worm and to the mouse and human Nit protein which interacts with the Fhit tumor suppressor; nitrilase superfamily member",29,4975.100,6029.040,6900.530,5121.340,5139.690,6468.060,6358.300,6079.120,7817.800,5899.110
YNR037C,RSM19,"Mitochondrial ribosomal protein of the small subunit, has similarity to E. coli S19 ribosomal protein",15,2109.900,3321.900,4122.700,2746.180,3289.380,4487.980,4046.230,7563.220,5106.850,5833.180
YBR234C,ARC40,"Subunit of the ARP2/3 complex, which is required for the motility and integrity of cortical actin patches",37,4155.550,6592.830,5682.840,4791.110,4713.120,6825.270,6496.910,7421.500,5931.580,6634.900
YIL142W,CCT2,"Subunit beta of the cytosolic chaperonin Cct ring complex, related to Tcp1p, required for the assembly of actin and tubulins in vivo",88,26229.700,16456.700,15042.400,25314.500,27404.500,16627.700,14350.000,19688.700,16993.400,17124.700
YBR162C,TOS1,"Covalently-bound cell wall protein of unknown function; identified as a cell cycle regulated SBF target gene; deletion mutants are highly resistant to treatment with beta-1,3-glucanase; has sequence similarity to YJL171C",18,3479.070,2005.410,3303.840,4375.270,4335.990,3508.690,3947.800,5650.690,4064.540,3828.370
