ORF,CommName,Fold,Cont-mean-Int,Cont-SD-Int,MMS-mean-Int,MMS-SD-Int,Localization,Function
YER062C,HOR2,2.3,32.04,10.26,73.79,4.21,"cytoplasm,nucleus","One of two redundant DL-glycerol-3-phosphatases (RHR2/GPP1 encodes the other) involved in glycerol biosynthesis; induced in response to hyperosmotic stress and oxidative stress, and during the diauxic transition"
YHR137W,ARO9,2.29,9.43,1.9,21.63,3.44,"cytoplasm,nucleus","Aromatic aminotransferase II, catalyzes the first step of tryptophan, phenylalanine, and tyrosine catabolism"
YMR029C,FAR8,2.28,6.26,2.1,14.3,7.75,"ER,ambiguous,cytoplasm","Protein involved in recovery from cell cycle arrest in response to pheromone, in a Far1p-independent pathway; interacts with Far3p, Far7p, Far9p, Far10p, and Far11p"
YML100W,TSL1,2.27,91.34,14.25,207.42,22.01,cytoplasm,"Large subunit of trehalose 6-phosphate synthase (Tps1p)/phosphatase (Tps2p) complex, which converts uridine-5'-diphosphoglucose and glucose 6-phosphate to trehalose, similar to Tps3p and may share function; mutant has aneuploidy tolerance"
YGL076C,RPL7A,2.26,133.79,8.78,302.95,26.94,cytoplasm,"Protein component of the large (60S) ribosomal subunit, nearly identical to Rpl7Bp and has similarity to E. coli L30 and rat L7 ribosomal proteins; contains a conserved C-terminal Nucleic acid Binding Domain (NDB2)"
YPL184C,,2.26,12.06,1.48,27.25,8.02,cytoplasm,"RNA-binding protein proposed to be involved in translational regulation; binds specific categories of mRNAs, including those that contain upstream open reading frames (uORFs) and internal ribosome entry sites (IRES)"
YER078C,,2.24,6.61,7.13,14.8,6.74,mitochondrion,"Mitochondrial aminopeptidase; cleaves the N termini of at least 38 imported proteins after cleavage by the mitochondrial processing peptidase (MPP), thereby increasing their stability; member of the aminopeptidase P family"
YAL011W,SWC3,2.23,4.2,3.23,9.36,5.93,nucleus,"Protein of unknown function, component of the SWR1 complex, which exchanges histone variant H2AZ (Htz1p) for chromatin-bound histone H2A; required for formation of nuclear-associated array of smooth endoplasmic reticulum known as karmellae"
YKR011C,,2.23,5,4.43,11.12,3.19,nucleus,Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the nucleus
YOR220W,,2.22,10.63,5.26,23.58,3.54,cytoplasm,Protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm and is induced in response to the DNA-damaging agent MMS; phosphorylated in response to alpha factor
YDR358W,GGA1,2.21,8.53,0.75,18.86,6.21,"cytoplasm,late Golgi","Golgi-localized protein with homology to gamma-adaptin, interacts with and regulates Arf1p and Arf2p in a GTP-dependent manner in order to facilitate traffic through the late Golgi"
YOL016C,CMK2,2.21,16.05,7.75,35.51,3.07,cytoplasm,"Calmodulin-dependent protein kinase; may play a role in stress response, many CA++/calmodulan dependent phosphorylation substrates demonstrated in vitro, amino acid sequence similar to Cmk1p and mammalian Cam Kinase II"
YLR375W,STP3,2.2,4.05,4.01,8.9,4.99,nucleus,"Zinc-finger protein of unknown function, possibly involved in pre-tRNA splicing and in uptake of branched-chain amino acids"
YDR097C,MSH6,2.19,5.97,3.62,13.09,5.33,nucleus,"Protein required for mismatch repair in mitosis and meiosis, forms a complex with Msh2p to repair both single-base & insertion-deletion mispairs; potentially phosphorylated by Cdc28p"
YOR173W,DCS2,2.19,11.73,0.66,25.7,2.57,cytoplasm,"Non-essential, stress induced regulatory protein; modulates m7G-oligoribonucleotide metabolism; inhibits Dcs1p; regulated by Msn2p, Msn4p, and the Ras-cAMP-cAPK signaling pathway; mutant has increased aneuploidy tolerance"
YIL036W,CST6,2.18,7.93,6.1,17.26,4.33,nucleus,"Basic leucine zipper (bZIP) transcription factor of the ATF/CREB family, proposed to be a regulator of oleate responsive genes; involved in utilization of non-optimal carbon sources and chromosome stability"
YIR023W,DAL81,2.18,6.62,1.02,14.45,1.09,nucleus,Positive regulator of genes in multiple nitrogen degradation pathways; contains DNA binding domain but does not appear to bind the dodecanucleotide sequence present in the promoter region of many genes involved in allantoin catabolism
YKL130C,SHE2,2.18,127.28,12,277.63,32.98,"cytoplasm,nucleus",RNA-binding protein that binds specific mRNAs and interacts with She3p; part of the mRNA localization machinery that restricts accumulation of certain proteins to the bud
YMR213W,CEF1,2.18,3.04,1.7,6.61,1.7,"cytoplasm,nucleus","Essential splicing factor; associated with Prp19p and the spliceosome, contains an N-terminal c-Myb DNA binding motif necessary for cell viability but not for Prp19p association, evolutionarily conserved and homologous to S. pombe Cdc5p"
YGR008C,STF2,2.17,167.83,37.92,363.93,36.16,"cytoplasm,nucleus",Function not found
YGR019W,UGA1,2.17,31.81,5.5,68.93,7.41,cytoplasm,Gamma-aminobutyrate (GABA) transaminase (4-aminobutyrate aminotransferase) involved in the 4-aminobutyrate and glutamate degradation pathways; required for normal oxidative stress tolerance and nitrogen utilization
YKR027W,FMP50,2.17,7.73,4.04,16.78,9.11,late Golgi,"Member of the ChAPs family of proteins (Chs5p-Arf1p-binding proteins: Bch1p, Bch2p, Bud7p, Chs6p), that forms the exomer complex with Chs5p to mediate export of specific cargo proteins, including Chs3p, from the Golgi to the plasma membrane"
YMR098C,,2.16,8.15,5.39,17.64,9.32,mitochondrion,Mitochondrial protein required for the stability of Oli1p (Atp9p) mRNA and for the Oli1p ring formation; YMR098C is not an essential gene
YER175C,TMT1,2.15,5.05,1.71,10.86,3,cytoplasm,"Trans-aconitate methyltransferase, cytosolic enzyme that catalyzes the methyl esterification of 3-isopropylmalate, an intermediate of the leucine biosynthetic pathway, and trans-aconitate, which inhibits the citric acid cycle"
YGL124C,MON1,2.15,3.52,0.6,7.57,5.74,late Golgi,"Protein required for fusion of cvt-vesicles and autophagosomes with the vacuole; associates, as a complex with Ccz1p, with a perivacuolar compartment; potential Cdc28p substrate"
YKR049C,FMP46,2.15,4.11,2.36,8.85,2.88,mitochondrion,"Putative redox protein containing a thioredoxin fold; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies"
YMR285C,NGL2,2.15,8.45,2.24,18.15,1.38,cytoplasm,Protein involved in 5.8S rRNA processing; Ccr4p-like RNase required for correct 3'-end formation of 5.8S rRNA at site E; similar to Ngl1p and Ngl3p
YLR133W,CKI1,2.14,14.36,2.62,30.74,5.21,cytoplasm,"Choline kinase, catalyzing the first step in phosphatidylcholine synthesis via the CDP-choline (Kennedy pathway); exhibits some ethanolamine kinase activity contributing to phosphatidylethanolamine synthesis via the CDP-ethanolamine pathway"
YNL306W,MRPS18,2.14,6.79,0.74,14.51,7.05,mitochondrion,"Mitochondrial ribosomal protein of the small subunit; essential for viability, unlike most other mitoribosomal proteins"
YOR267C,HRK1,2.13,11.84,3.51,25.28,1.05,cytoplasm,Protein kinase implicated in activation of the plasma membrane H(+)-ATPase Pma1p in response to glucose metabolism; plays a role in ion homeostasis
YBR214W,SDS24,2.12,21.44,1.99,45.47,1.53,cytoplasm,"One of two S. cerevisiae homologs (Sds23p and Sds24p) of the S. pombe Sds23 protein, which is implicated in APC/cyclosome regulation; involved in cell separation during budding; may play an indirect role in fluid-phase endocytosis"
YPR016C,TIF6,2.12,49.2,11.38,104.25,5.36,"nucleolus,nucleus","Constituent of 66S pre-ribosomal particles, has similarity to human translation initiation factor 6 (eIF6); may be involved in the biogenesis and or stability of 60S ribosomal subunits"
YMR196W,,2.11,33.91,1.42,71.57,4.33,cytoplasm,Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm; YMR196W is not an essential gene
YLR367W,RPS22B,2.1,56.48,3.82,118.43,6.15,nucleolus,Protein component of the small (40S) ribosomal subunit; nearly identical to Rps22Ap and has similarity to E. coli S8 and rat S15a ribosomal proteins
YMR167W,MLH1,2.1,2.53,1.59,5.32,0.31,"cytoplasm,nucleus",Protein required for mismatch repair in mitosis and meiosis as well as crossing over during meiosis; forms a complex with Pms1p and Msh2p-Msh3p during mismatch repair; human homolog is associated with hereditary non-polyposis colon cancer
YMR250W,GAD1,2.1,23.15,3.78,48.51,13.82,cytoplasm,"Glutamate decarboxylase, converts glutamate into gamma-aminobutyric acid (GABA) during glutamate catabolism; involved in response to oxidative stress"
YER147C,SCC4,2.09,6.97,4.76,14.57,11.21,"cytoplasm,nucleus","Subunit of cohesin loading factor (Scc2p-Scc4p), a complex required for the loading of cohesin complexes onto chromosomes; involved in establishing sister chromatid cohesion during double-strand break repair via phosphorylated histone H2AX"
YLR106C,MDN1,2.08,7.35,0.08,15.31,0.63,"cytoplasm,nucleus","Huge dynein-related AAA-type ATPase (midasin), forms extended pre-60S particle with the Rix1 complex (Rix1p-Ipi1p-Ipi3p); acts in removal of ribosomal biogenesis factors at successive steps of pre-60S assembly and export from nucleus"
YGL001C,ERG26,2.06,9.17,3.83,18.84,1.28,ER,"C-3 sterol dehydrogenase, catalyzes the second of three steps required to remove two C-4 methyl groups from an intermediate in ergosterol biosynthesis"
YMR174C,PAI3,2.06,12.83,11.53,26.46,1.38,"cytoplasm,nucleus","Cytoplasmic proteinase A (Pep4p) inhibitor, dependent on Pbs2p and Hog1p protein kinases for osmotic induction; intrinsically unstructured, N-terminal half becomes ordered in the active site of proteinase A upon contact"
YOR027W,STI1,2.06,105.37,22.43,217.25,30.75,cytoplasm,"Hsp90 cochaperone, interacts with the Ssa group of the cytosolic Hsp70 chaperones and activates Ssa1p ATPase activity; interacts with Hsp90 chaperones and inhibits their ATPase activity; homolog of mammalian Hop"
YNL257C,SIP3,2.05,8.27,1.24,16.91,9.51,ambiguous,"Protein that activates transcription through interaction with DNA-bound Snf1p, C-terminal region has a putative leucine zipper motif; potential Cdc28p substrate"
YBR244W,GPX2,2.04,16.07,1.27,32.81,2.78,"cytoplasm,nucleus",Phospholipid hydroperoxide glutathione peroxidase induced by glucose starvation that protects cells from phospholipid hydroperoxides and nonphospholipid peroxides during oxidative stress
YOR028C,CIN5,2.04,4.8,1.87,9.78,1.11,"cytoplasm,nucleus",Basic leucine zipper (bZIP) transcription factor of the yAP-1 family; physically interacts with the Tup1-Cyc8 complex and recruits Tup1p to its targets; mediates pleiotropic drug resistance and salt tolerance; nuclearly localized under oxidative stress an
YJL190C,RPS22A,2.03,119.59,40.35,243.23,21.95,"nucleolus,nucleus",Protein component of the small (40S) ribosomal subunit; nearly identical to Rps22Bp and has similarity to E. coli S8 and rat S15a ribosomal proteins
YOR308C,SNU66,2.03,5.82,3.57,11.82,8.75,nucleus,Component of the U4/U6.U5 snRNP complex involved in pre-mRNA splicing via spliceosome; also required for pre-5S rRNA processing and may act in concert with Rnh70p; has homology to human SART-1
YPR190C,RPC82,2.03,9.4,1.64,19.09,3.61,"cytoplasm,nucleus",RNA polymerase III subunit C82
YDR390C,UBA2,2.02,6.73,0.95,13.57,7.27,nucleus,"Subunit of a heterodimeric nuclear SUMO activating enzyme (E1) with Aos1p; activates Smt3p (SUMO) before its conjugation to proteins (sumoylation), which may play a role in protein targeting; essential for viability"
YML026C,RPS18B,2.02,45.32,19.84,91.65,8.94,cytoplasm,Protein component of the small (40S) ribosomal subunit; nearly identical to Rps18Ap and has similarity to E. coli S13 and rat S18 ribosomal proteins
YML092C,PRE8,2.02,61.98,10.09,125,11.47,nucleus,Alpha 2 subunit of the 20S proteasome
YKL001C,MET14,2.01,5.87,2.03,11.77,1.52,cytoplasm,"Adenylylsulfate kinase, required for sulfate assimilation and involved in methionine metabolism"
YLR178C,TFS1,2.01,23.24,3.02,46.77,12.53,"cytoplasm,nucleus",Protein that interacts with and inhibits carboxypeptidase Y and Ira2p; phosphatidylethanolamine-binding protein (PEBP) family member; targets to vacuolar membranes during stationary phase; acetylated by NatB N-terminal acetyltransferase
YGR123C,PPT1,2,14.57,0.84,29.09,0.5,cytoplasm,Protein serine/threonine phosphatase with similarity to human phosphatase PP5; present in both the nucleus and cytoplasm; expressed during logarithmic growth; computational analyses suggest roles in phosphate metabolism and rRNA processing
YOL038W,PRE6,2,56.99,0.71,113.85,9.31,"cytoplasm,nucleus",Alpha 4 subunit of the 20S proteasome; may replace alpha 3 subunit (Pre9p) under stress conditions to create a more active proteasomal isoform; GFP-fusion protein relocates from cytosol to the mitochondrial surface upon oxidative stress
YOL151W,GRE2,2,15.57,1.54,31.21,14.33,"cytoplasm,nucleus","3-methylbutanal reductase and NADPH-dependent methylglyoxal reductase (D-lactaldehyde dehydrogenase); stress induced (osmotic, ionic, oxidative, heat shock and heavy metals); regulated by the HOG pathway"
YLR206W,ENT2,1.99,9.51,7.3,18.91,2.67,actin,Epsin-like protein required for endocytosis and actin patch assembly and functionally redundant with Ent1p; contains clathrin-binding motif at C-terminus
YOR172W,YRM1,1.99,4.96,0.45,9.86,4.14,"cytoplasm,nucleus","Zn2-Cys6 zinc-finger transcription factor that activates genes involved in multidrug resistance; paralog of Yrr1p, acting on an overlapping set of target genes"
YOR207C,RET1,1.99,5.34,0.74,10.61,1.07,nucleus,"Second-largest subunit of RNA polymerase III, which is responsible for the transcription of tRNA and 5S RNA genes, and other low molecular weight RNAs"
YDR138W,HPR1,1.97,8.08,1.01,15.93,1.62,nucleus,"Subunit of THO/TREX complexes that couple transcription elongation with mitotic recombination and with mRNA metabolism and export, subunit of an RNA Pol II complex; regulates lifespan; involved in telomere maintenance; similar to Top1p"
YGL178W,MPT5,1.97,11.6,0.94,22.83,3.4,cytoplasm,"Member of the Puf family of RNA-binding proteins; binds to mRNAs encoding chromatin modifiers and spindle pole body components; involved in longevity, maintenance of cell wall integrity, and sensitivity to and recovery from pheromone arrest"
YGR135W,PRE9,1.97,50.51,4.52,99.25,24.39,"cytoplasm,nucleus","Alpha 3 subunit of the 20S proteasome, the only nonessential 20S subunit; may be replaced by the alpha 4 subunit (Pre6p) under stress conditions to create a more active proteasomal isoform"
YOR014W,RTS1,1.97,11.08,0.62,21.81,6.35,"cytoplasm,nucleus",B-type regulatory subunit of protein phosphatase 2A (PP2A); Rts1p and Cdc55p are alternative regulatory subunits for PP2A; PP2A-Rts1p protects cohesin when recruited by Sgo1p to the pericentromere; highly enriched at centromeres in absence of Cdc55p; homo
YPL091W,GLR1,1.97,28.66,3.38,56.34,10.02,"cytoplasm,mitochondrion,nucleus","Cytosolic and mitochondrial glutathione oxidoreductase, converts oxidized glutathione to reduced glutathione; mitochondrial but not cytosolic form has a role in resistance to hyperoxia"
